Leven_Inclusion (IDY equivalent),Temperature,Time,Ferment_Type,Hydration,DDT
0.05,72 F,15 hours,poolish,100,69
0.3,72 F,6 hours,poolish,100,69
0.45,72 F,4 hours,poolish,100,69
0.25,72 F,7hours,poolish,100,69
0.25,80 F,4 hours,poolish,100,75
0.1,80 F,7 hours,poolish,100,75
0.05,80 F,11 hours,poolish,100,75
0.025,80 F,15 hours,poolish,100,75
0.13,60 F,24 hours,poolish,100,59
0.25,60 F,18 hours,poolish,100,59
0.65,60 F,11 hours,poolish,100,59
