degrees F,0.006%,0.007%,0.008%,0.009%,0.01%,0.02%,0.03%,0.04%,0.05%,0.06%,0.07%,0.08%,0.09%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1.0%,1.1%,1.2%,1.3%,1.4%,1.5%,1.6%,1.7%,1.8%,1.9%,2.0%
58.0,522.6,478.1,442.5,413.4,389.0,260.5,206.1,174.5,153.4,138.0,126.2,116.9,109.2,102.7,68.8,54.4,46.1,40.5,36.4,33.3,30.9,28.8,27.1,25.7,24.4,23.3,22.3,21.5,20.7,20.0,19.3,18.7,18.2
59.0,478.7,437.8,405.3,378.6,356.2,238.6,188.7,159.8,140.5,126.4,115.6,107.0,100.0,94.1,63.0,49.8,42.2,37.1,33.4,30.5,28.3,26.4,24.8,23.5,22.4,21.3,20.5,19.7,18.9,18.3,17.7,17.1,16.6
60.0,439.0,401.6,371.7,347.3,326.7,218.8,173.1,146.6,128.8,115.9,106.1,98.2,91.7,86.3,57.8,45.7,38.7,34.0,30.6,28.0,25.9,24.2,22.8,21.6,20.5,19.6,18.8,18.0,17.4,16.8,16.2,15.7,15.3
61.0,403.3,368.9,341.5,319.0,300.1,201.0,159.0,134.6,118.3,106.5,97.4,90.2,84.2,79.3,53.1,42.0,35.6,31.2,28.1,25.7,23.8,22.2,20.9,19.8,18.8,18.0,17.2,16.6,15.9,15.4,14.9,14.4,14.0
62.0,370.9,339.3,314.1,293.4,276.1,184.9,146.2,123.8,108.8,98.0,89.6,82.9,77.5,72.9,48.8,38.6,32.7,28.7,25.9,23.7,21.9,20.5,19.3,18.2,17.3,16.5,15.8,15.2,14.7,14.2,13.7,13.3,12.9
63.0,341.6,312.5,289.3,270.2,254.3,170.3,134.7,114.1,100.2,90.2,82.5,76.4,71.4,67.1,45.0,35.6,30.1,26.5,23.8,21.8,20.2,18.8,17.7,16.8,16.0,15.2,14.6,14.0,13.5,13.0,12.6,12.2,11.9
64.0,315.1,288.2,266.8,249.2,234.5,157.0,124.2,105.2,92.5,83.2,76.1,70.4,65.8,61.9,41.5,32.8,27.8,24.4,22.0,20.1,18.6,17.4,16.4,15.5,14.7,14.0,13.5,12.9,12.5,12.0,11.6,11.3,11.0
65.0,290.9,266.1,246.3,230.1,216.5,145.0,114.7,97.1,85.4,76.8,70.3,65.1,60.8,57.2,38.3,30.3,25.6,22.5,20.3,18.6,17.2,16.0,15.1,14.3,13.6,13.0,12.4,11.9,11.5,11.1,10.7,10.4,10.1
66.0,269.0,246.0,227.7,212.7,200.2,134.1,106.0,89.8,78.9,71.0,65.0,60.1,56.2,52.9,35.4,28.0,23.7,20.8,18.8,17.2,15.9,14.8,14.0,13.2,12.6,12.0,11.5,11.0,10.6,10.3,9.9,9.6,9.3
67.0,248.9,227.7,210.8,196.9,185.3,124.1,98.2,83.1,73.0,65.7,60.1,55.7,52.0,48.9,32.8,25.9,21.9,19.3,17.4,15.9,14.7,13.7,12.9,12.2,11.6,11.1,10.6,10.2,9.8,9.5,9.2,8.9,8.7
